,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
0,02-JAN-2023,14.8675,15.4525,14.5675,14.685,14.8675,-0.18,-1.23
1,03-JAN-2023,14.685,14.99,14.305,14.385,14.685,-0.3,-2.04
2,04-JAN-2023,14.385,15.6825,14.33,15.1975,14.385,0.81,5.65
3,05-JAN-2023,15.1975,15.6,14.8125,14.9825,15.1975,-0.22,-1.41
4,06-JAN-2023,14.9825,15.4375,14.6225,15.025,14.9825,0.04,0.28
5,09-JAN-2023,15.025,15.3775,14.53,14.6525,15.025,-0.37,-2.48
6,10-JAN-2023,14.6525,15.935,14.5625,15.51,14.6525,0.86,5.85
7,11-JAN-2023,15.51,16.225,15.115,15.435,15.51,-0.08,-0.48
8,12-JAN-2023,15.435,16.0425,14.4175,15.275,15.435,-0.16,-1.04
9,13-JAN-2023,15.275,15.6025,14.395,14.46,15.275,-0.82,-5.34
10,16-JAN-2023,14.46,15.3625,14.46,15.0225,14.46,0.56,3.89
11,17-JAN-2023,15.0225,15.31,13.84,14.59,15.0225,-0.43,-2.88
12,18-JAN-2023,14.59,14.75,12.4725,14.3725,14.59,-0.22,-1.49
13,19-JAN-2023,14.3725,14.8325,13.8925,13.96,14.3725,-0.41,-2.87
14,20-JAN-2023,13.96,14.185,11.6425,13.7875,13.96,-0.17,-1.24
15,23-JAN-2023,13.7875,14.26,13.48,13.6175,13.7875,-0.17,-1.23
16,24-JAN-2023,13.6175,13.81,13.3,13.6575,13.6175,0.04,0.29
17,25-JAN-2023,13.6575,15.4225,13.5175,14.655,13.6575,1.0,7.3
18,27-JAN-2023,14.655,18.0125,14.5825,17.32,14.655,2.67,18.18
19,30-JAN-2023,17.32,19.39,17.29,17.71,17.32,0.39,2.25
20,31-JAN-2023,17.71,18.3675,16.565,16.875,17.71,-0.84,-4.71
21,01-FEB-2023,16.875,18.54,14.8475,16.78,16.875,-0.1,-0.56
22,02-FEB-2023,16.78,17.7675,15.5075,15.7325,16.78,-1.05,-6.24
23,03-FEB-2023,15.7325,15.7575,14.27,14.3975,15.7325,-1.34,-8.49
24,06-FEB-2023,14.3975,15.205,14.185,14.6875,14.3975,0.29,2.01
25,07-FEB-2023,14.6875,14.875,13.665,14.125,14.6875,-0.56,-3.83
26,08-FEB-2023,14.125,14.2475,13.535,13.595,14.125,-0.53,-3.75
27,09-FEB-2023,13.595,13.815,12.0625,13.04,13.595,-0.56,-4.08
28,10-FEB-2023,13.04,13.2775,12.2075,12.745,13.04,-0.3,-2.26
29,13-FEB-2023,12.745,14.095,11.83,13.68,12.745,0.94,7.34
30,14-FEB-2023,13.68,13.68,12.4525,13.4525,13.68,-0.23,-1.66
31,15-FEB-2023,13.4525,13.4525,11.28,12.86,13.4525,-0.59,-4.4
32,16-FEB-2023,12.86,13.1625,10.1725,12.89,12.86,0.03,0.23
33,17-FEB-2023,12.89,13.52,10.8025,13.085,12.89,0.2,1.51
34,20-FEB-2023,13.085,13.7075,10.9225,13.3825,13.085,0.3,2.27
35,21-FEB-2023,13.3825,14.295,13.3825,14.0075,13.3825,0.63,4.67
36,22-FEB-2023,14.0075,15.915,12.3775,15.5875,14.0075,1.58,11.28
37,23-FEB-2023,15.5875,16.01,14.5175,15.075,15.5875,-0.51,-3.29
38,24-FEB-2023,15.075,15.1425,14.0075,14.185,15.075,-0.89,-5.9
39,27-FEB-2023,14.185,15.0975,13.75,13.875,14.185,-0.31,-2.19
40,28-FEB-2023,13.875,14.5675,13.5,14.02,13.875,0.15,1.05
41,01-MAR-2023,14.02,14.02,12.275,12.995,14.02,-1.03,-7.31
42,02-MAR-2023,12.995,13.55,11.1,12.97,12.995,-0.03,-0.19
43,03-MAR-2023,12.97,12.97,11.98,12.18,12.97,-0.79,-6.09
44,06-MAR-2023,12.18,12.4725,11.8375,12.2675,12.18,0.09,0.72
45,08-MAR-2023,12.2675,12.8475,11.8975,12.45,12.2675,0.18,1.49
46,09-MAR-2023,12.45,12.8425,11.78,12.725,12.45,0.28,2.21
47,10-MAR-2023,12.725,13.8175,12.725,13.4125,12.725,0.69,5.4
48,13-MAR-2023,13.4125,16.4275,13.4125,16.215,13.4125,2.8,20.89
49,14-MAR-2023,16.215,16.6425,15.0025,16.2175,16.215,0.0,0.02
50,15-MAR-2023,16.2175,16.505,14.5175,16.295,16.2175,0.08,0.48
51,16-MAR-2023,16.295,17.355,13.95,16.2175,16.295,-0.08,-0.48
52,17-MAR-2023,16.2175,16.2175,14.6,14.7675,16.2175,-1.45,-8.94
53,20-MAR-2023,14.7675,17.22,14.52,16.0075,14.7675,1.24,8.4
54,21-MAR-2023,16.0075,16.035,14.0825,15.0825,16.0075,-0.93,-5.78
55,22-MAR-2023,15.0825,15.0925,14.2425,14.8075,15.0825,-0.28,-1.82
56,23-MAR-2023,14.8075,15.0575,13.9025,14.49,14.8075,-0.32,-2.14
57,24-MAR-2023,14.49,15.43,14.2025,15.24,14.49,0.75,5.18
58,27-MAR-2023,15.24,16.0925,15.0975,15.445,15.24,0.21,1.35
59,28-MAR-2023,15.445,15.6075,14.865,15.1,15.445,-0.35,-2.23
60,29-MAR-2023,15.1,15.1,13.32,13.6275,15.1,-1.47,-9.75
